WT	Shuf1		
2.5e+008	2.5500e+008		
5.5e+009	5.1400e+009		
4.3e+007	4.1137e+007		
5936800.0	0.0000		
0.0	9035200.0000		
0.0	0.0000		
0.0	0.0000		
1.7e+009	2.1700e+009		
6.1e+008	6.1800e+008		
7.9e+007	8.5995e+007		
9.4e+008	1.4500e+009		
1.5e+009	1.4100e+009		
2.5e+008	2.0100e+008		
8.1e+007	8.0577e+007		
0.0	0.0000		
4.5e+007	0.0000		
5.8e+009	5.7400e+009		
9.0e+009	7.6300e+009		
0.0	0.0000		
2.7e+008	2.4800e+008		
0.0	0.0000		
0.0	0.0000		
2.5e+009	2.2500e+009		
6.1e+008	6.4400e+008		
1.0e+008	1.1500e+008		
2.3e+009	1.9200e+009		
0.0	1.5494e+007		
6.3e+008	7.0500e+008		
3.1e+009	3.0900e+009		
0.0	0.0000		
8.4e+007	6.1726e+007		
1.8e+008	1.7000e+008		
3.8e+007	0.0000		
5.0e+009	5.1000e+009		
3.9e+009	4.0300e+009		
1.3e+010	1.0900e+010		
1.2e+010	7.7600e+009		
0.0	0.0000		
4.2e+009	3.8300e+009		
4.0e+008	4.2300e+008		
3.9e+009	4.5300e+009		
0.0	0.0000		
7.3e+007	8.1981e+007		
2.5e+008	1.9400e+008		
6.2e+007	5.2514e+007		
5.7e+009	5.2800e+009		
0.0	0.0000		
3.1e+008	4.0600e+008		
1.7e+009	1.6500e+009		
5.2e+008	5.5000e+008		
2.7e+008	2.5800e+008		
7.5e+008	6.8700e+008		
8.3e+008	8.2100e+008		
2.0e+009	1.7700e+009		
5.0e+007	5.3778e+007		
4.8e+008	5.2600e+008		
4.5e+008	4.0500e+008		
3.6e+008	2.2700e+009		
9.7e+007	8.7888e+007		
4.1e+008	4.9100e+008		
0.0	0.0000		
0.0	0.0000		
8.3e+007	8.1878e+007		
2.8e+008	2.6200e+008		
4.1e+008	7.2100e+008		
1.5e+009	2.5600e+009		
5.7e+009	5.0000e+009		
0.0	1.2020e+007		
9178800.0	0.0000		
0.0	0.0000		
1.3e+008	9.5088e+007		
2.7e+008	2.2300e+008		
1.7e+007	0.0000		
5.2e+007	0.0000		
8.1e+009	8.3600e+009		
3.5e+009	3.8300e+009		
1.6e+010	1.4200e+010		
1.1e+010	1.2300e+010		
3.0e+010	3.0500e+010		
0.0	0.0000		
2.0e+010	1.5000e+010		
6.8e+008	7.3700e+008		
2.7e+008	2.5000e+008		
7.5e+007	1.9800e+008		
3.7e+007	3.3381e+007		
1.8e+009	1.5900e+009		
0.0	0.0000		
2.1e+009	1.6900e+009		
2.0e+009	1.7500e+009		
2.8e+008	1.9100e+008		
3.3e+009	2.9300e+009		
0.0	6.8806e+007		
4.0e+007	0.0000		
2.7e+009	2.0200e+009		
1.5e+008	1.3700e+008		
0.0	6464200.0000		
1.1e+009	8.6900e+008		
2.2e+007	0.0000		
0.0	0.0000		
6.8e+008	5.7600e+008		
0.0	3.6697e+007		
1.6e+008	1.2200e+008		
6.5e+008	7.0800e+008		
0.0	0.0000		
8.2e+008	8.2900e+008		
1.6e+008	2.4100e+008		
6.5e+007	5.5233e+007		
3.9e+008	3.7100e+008		
8.6e+007	9.3042e+007		
2.4e+008	2.7800e+008		
0.0	0.0000		
0.0	0.0000		
1.7e+009	1.7300e+009		
1.5e+008	1.1000e+008		
0.0	0.0000		
1.8e+008	1.6000e+008		
1.4e+008	1.6100e+008		
6.7e+007	7.6217e+007		
4.7e+009	4.9600e+009		
0.0	0.0000		
1.1e+008	1.0700e+008		
1.1e+010	1.2000e+010		
7.5e+009	7.2000e+009		
4.4e+009	4.7600e+009		
2.1e+010	2.2300e+010		
2.0e+009	2.3900e+009		
6.1e+009	6.3400e+009		
3.5e+010	3.6400e+010		
2.0e+009	1.8000e+009		
3.8e+008	3.3300e+008		
1.4e+009	9.4200e+008		
4.2e+009	5.4100e+009		
3.7e+008	0.0000		
0.0	0.0000		
8079600.0	0.0000		
0.0	0.0000		
0.0	0.0000		
1.3e+008	1.4000e+008		
3.6e+007	4.2632e+007		
3.0e+008	3.1800e+008		
1.4e+009	1.0600e+009		
4.2e+009	3.8600e+009		
9.2e+008	8.5800e+008		
1.6e+009	1.7200e+009		
2.1e+009	1.6300e+009		
1.5e+010	1.3400e+010		
0.0	0.0000		
1.3e+008	1.3200e+008		
4.4e+008	3.8600e+008		
1.3e+008	1.0200e+008		
8.8e+008	8.6400e+008		
1.8e+008	1.6800e+008		
8.8e+007	7.4193e+007		
9.5e+008	8.7700e+008		
0.0	0.0000		
3.0e+009	2.7900e+009		
0.0	0.0000		
4.2e+008	6.5400e+008		
2.9e+008	2.8200e+008		
2.6e+008	0.0000		
5.7e+007	6.3112e+007		
6.6e+007	6.0074e+007		
4.8e+009	4.9100e+009		
4.0e+008	3.4700e+008		
3.5e+007	6.2010e+007		
0.0	4754000.0000		
0.0	0.0000		
0.0	0.0000		
5.0e+007	5.2734e+007		
9.8e+009	6.2900e+009		
0.0	0.0000		
1.6e+008	2.0400e+008		
3.0e+008	3.3900e+008		
1.6e+008	1.0000e+008		
1.9e+009	1.3400e+009		
7.1e+009	6.8100e+009		
5.1e+009	5.8100e+009		
1.7e+011	1.7000e+011		
4.5e+008	3.3200e+008		
2.4e+008	2.4000e+008		
5.5e+008	7.0000e+008		
7.8e+008	7.6900e+008		
4.5e+007	0.0000		
7.8e+007	7.0115e+007		
3.1e+009	3.0600e+009		
2.4e+007	4.4642e+007		
7912200.0	0.0000		
0.0	0.0000		
3.9e+007	4.5724e+007		
2.0e+008	2.1100e+008		
2.5e+008	2.5000e+008		
5.3e+007	0.0000		
4.0e+007	3.5022e+007		
1.9e+009	1.6900e+009		
2.0e+008	1.8000e+008		
1.3e+008	1.6000e+008		
5.1e+008	5.6300e+008		
1.6e+007	0.0000		
1.8e+007	2.0543e+007		
8.0e+009	7.7500e+009		
8.3e+008	7.1600e+008		
0.0	0.0000		
1.8e+008	1.7800e+008		
0.0	0.0000		
5.3e+008	5.7900e+008		
3.7e+009	2.9400e+009		
