"Wavelength (nm)"	WT	Shuf1	FEBS
198.7	13.084930	10.785020	11.868810
198.6	12.963070	10.645590	11.986620
198.5	12.769750	10.631370	12.184810
198.4	12.601970	11.064350	12.096670
198.3	12.670600	11.272950	11.710650
198.2	12.804210	11.124200	11.429720
198.1	13.007240	11.272580	11.595970
198.0	13.413000	11.716870	11.957210
197.9	13.967790	11.902620	12.278400
197.8	14.204310	11.857760	12.459580
197.7	14.494470	12.137020	12.836490
197.6	14.146040	12.341880	13.356490
197.5	13.982580	12.340570	14.562060
197.4	13.618100	12.198810	15.305460
197.3	13.130640	12.225880	15.829420
197.2	12.701370	11.859890	16.166610
197.1	12.382860	11.947440	16.286940
197.0	12.592460	12.275130	16.334990
196.9	12.880990	12.073420	16.057970
196.8	13.747130	12.046450	15.587240
196.7	14.794240	12.330210	14.948590
196.6	15.344940	12.775150	14.475230
196.5	16.153130	12.866840	14.453440
196.4	16.948810	13.564640	14.392110
196.3	17.354290	13.806680	14.425610
196.2	17.463180	14.087190	15.027990
196.1	17.588710	14.540880	15.424450
196.0	17.494160	14.829740	15.571910
195.9	17.222450	15.017460	15.640850
195.8	16.537380	15.094380	16.098240
195.7	16.525530	15.265350	16.079050
195.6	16.126470	15.185060	15.731320
195.5	16.437160	15.008630	15.628760
195.4	17.046880	14.891020	15.168690
195.3	16.992360	15.114620	14.521050
195.2	16.624280	15.414820	14.469480
195.1	16.923080	15.175620	14.890460
195.0	16.835370	14.577160	14.494350
194.9	16.442220	14.313530	13.869630
194.8	16.246010	14.149650	14.128230
194.7	15.754520	14.258540	14.191090
194.6	15.205440	14.327320	14.174330
194.5	15.105670	14.323840	14.704840
194.4	15.575230	14.316490	14.822920
194.3	15.053600	14.466920	14.417570
194.2	15.112740	15.174360	14.245140
194.1	16.131530	15.396340	14.539180
194.0	16.696510	15.149130	15.021950
193.9	17.203500	14.773150	15.093820
193.8	17.368940	14.793400	14.988630
193.7	16.940120	14.570030	14.521130
193.6	16.516770	14.217380	13.868410
193.5	16.529970	14.145260	14.578340
193.4	16.419800	13.734110	14.743500
193.3	16.220860	13.147060	14.938270
193.2	15.383280	13.102670	14.686770
193.1	14.922030	13.487360	15.222410
193.0	14.463940	13.379920	15.401560
192.9	14.302490	13.268280	15.062070
192.8	13.401690	13.190860	14.994110
192.7	13.054140	12.631510	14.581080
192.6	12.650170	12.679920	14.107620
192.5	11.969410	12.995530	14.278870
192.4	11.786860	13.214250	14.107360
192.3	11.858170	12.897080	13.535380
